Company Name,Ticker
3M India Ltd.,3MINDIA
ABB India Ltd.,ABB
ACC Ltd.,ACC
AIA Engineering Ltd.,AIAENG
APL Apollo Tubes Ltd.,APLAPOLLO
AU Small Finance Bank Ltd.,AUBANK
Aarti Drugs Ltd.,AARTIDRUGS
Aavas Financiers Ltd.,AAVAS
Abbott India Ltd.,ABBOTINDIA
Adani Enterprises Ltd.,ADANIENT
Adani Green Energy Ltd.,ADANIGREEN
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS
Adani Total Gas Ltd.,ATGL
Adani Transmission Ltd.,ADANITRANS
Aditya Birla Capital Ltd.,ABCAPITAL
Aditya Birla Fashion and Retail Ltd.,ABFRL
Aditya Birla Sun Life AMC Ltd.,ABSLAMC
Advanced Enzyme Tech Ltd.,ADVENZYMES
Aegis Logistics Ltd.,AEGISCHEM
Affle (India) Ltd.,AFFLE
Ajanta Pharmaceuticals Ltd.,AJANTPHARM
Alembic Pharmaceuticals Ltd.,APLLTD
Alkem Laboratories Ltd.,ALKEM
Alkyl Amines Chemicals Ltd.,ALKYLAMINE
Allcargo Logistics Ltd.,ALLCARGO
Alok Industries Ltd.,ALOKINDS
Amara Raja Batteries Ltd.,AMARAJABAT
Amber Enterprises India Ltd.,AMBER
Ambuja Cements Ltd.,AMBUJACEM
Angel One Ltd.,ANGELONE
Anupam Rasayan India Ltd.,ANURAS
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP
Apollo Tyres Ltd.,APOLLOTYRE
Aptus Value Housing Finance India Ltd.,APTUS
Asahi India Glass Ltd.,ASAHIINDIA
Ashok Leyland Ltd.,ASHOKLEY
Asian Paints Ltd.,ASIANPAINT
Aster DM Healthcare Ltd.,ASTERDM
AstraZenca Pharma India Ltd.,ASTRAZEN
Astral Ltd.,ASTRAL
Atul Ltd.,ATUL
Aurobindo Pharma Ltd.,AUROPHARMA
Avanti Feeds Ltd.,AVANTIFEED
Avenue Supermarts Ltd.,DMART
Axis Bank Ltd.,AXISBANK
BASF India Ltd.,BASF
BSE Ltd.,BSE
Bajaj Auto Ltd.,BAJAJ-AUTO
Bajaj Electricals Ltd,BAJAJELEC
Bajaj Finance Ltd.,BAJFINANCE
Bajaj Finserv Ltd.,BAJAJFINSV
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG
Balaji Amines Ltd.,BALAMINES
Balkrishna Industries Ltd.,BALKRISIND
Balrampur Chini Mills Ltd.,BALRAMCHIN
Bandhan Bank Ltd.,BANDHANBNK
Bank of Baroda,BANKBARODA
Bank of India,BANKINDIA
Bank of Maharashtra,MAHABANK
Bata India Ltd.,BATAINDIA
Bayer Cropscience Ltd.,BAYERCROP
Berger Paints India Ltd.,BERGEPAINT
Bharat Dynamics Ltd.,BDL
Bharat Electronics Ltd.,BEL
Bharat Forge Ltd.,BHARATFORG
Bharat Heavy Electricals Ltd.,BHEL
Bharat Petroleum Corporation Ltd.,BPCL
Bharti Airtel Ltd.,BHARTIARTL
Biocon Ltd.,BIOCON
Birla Corporation Ltd.,BIRLACORPN
Birlasoft Ltd.,BSOFT
Blue Dart Express Ltd.,BLUEDART
Blue Star Ltd.,BLUESTARCO
Bombay Burmah Trading Corporation Ltd.,BBTC
Borosil Renewables Ltd.,BORORENEW
Bosch Ltd.,BOSCHLTD
Brigade Enterprises Ltd.,BRIGADE
Brightcom Group Ltd.,BCG
Britannia Industries Ltd.,BRITANNIA
C.E. Info Systems Ltd.,MAPMYINDIA
CCL Products (I) Ltd.,CCL
CESC Ltd.,CESC
CG Power and Industrial Solutions Ltd.,CGPOWER
CRISIL Ltd.,CRISIL
CSB Bank Ltd.,CSBBANK
Can Fin Homes Ltd.,CANFINHOME
Canara Bank,CANBK
Caplin Point Laboratories Ltd.,CAPLIPOINT
Capri Global Capital Ltd.,CGCL
Carborundum Universal Ltd.,CARBORUNIV
Castrol India Ltd.,CASTROLIND
Ceat Ltd.,CEATLTD
Central Bank of India,CENTRALBK
Central Depository Services (India) Ltd.,CDSL
Century Plyboards (India) Ltd.,CENTURYPLY
Century Textile & Industries Ltd.,CENTURYTEX
Cera Sanitaryware Ltd,CERA
Chalet Hotels Ltd.,CHALET
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT
Chemplast Sanmar Ltd.,CHEMPLASTS
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN
Cipla Ltd.,CIPLA
City Union Bank Ltd.,CUB
Clean Science and Technology Ltd.,CLEAN
Coal India Ltd.,COALINDIA
Cochin Shipyard Ltd.,COCHINSHIP
Coforge Ltd.,COFORGE
Colgate Palmolive (India) Ltd.,COLPAL
Computer Age Management Services Ltd.,CAMS
Container Corporation of India Ltd.,CONCOR
Coromandel International Ltd.,COROMANDEL
CreditAccess Grameen Ltd.,CREDITACC
Crompton Greaves Consumer Electricals Ltd.,CROMPTON
Cummins India Ltd.,CUMMINSIND
Cyient Ltd.,CYIENT
DCM Shriram Ltd.,DCMSHRIRAM
DLF Ltd.,DLF
Dabur India Ltd.,DABUR
Dalmia Bharat Ltd.,DALBHARAT
Deepak Nitrite Ltd.,DEEPAKNTR
Delta Corp Ltd.,DELTACORP
Devyani International Ltd.,DEVYANI
Dhani Services Ltd.,DHANI
Dilip Buildcon Ltd.,DBL
Divi's Laboratories Ltd.,DIVISLAB
Dixon Technologies (India) Ltd.,DIXON
Dr. Lal Path Labs Ltd.,LALPATHLAB
Dr. Reddy's Laboratories Ltd.,DRREDDY
E.I.D. Parry (India) Ltd.,EIDPARRY
EIH Ltd.,EIHOTEL
EPL Ltd.,EPL
Easy Trip Planners Ltd.,EASEMYTRIP
Edelweiss Financial Services Ltd.,EDELWEISS
Eicher Motors Ltd.,EICHERMOT
Elgi Equipments Ltd.,ELGIEQUIP
Emami Ltd.,EMAMILTD
Endurance Technologies Ltd.,ENDURANCE
Engineers India Ltd.,ENGINERSIN
Equitas Holdings Ltd.,EQUITAS
Equitas Small Finance Bank Ltd.,EQUITASBNK
Eris Lifesciences Ltd.,ERIS
Escorts Kubota Ltd.,ESCORTS
Exide Industries Ltd.,EXIDEIND
FDC Ltd.,FDC
FSN E-Commerce Ventures Ltd.,NYKAA
Federal Bank Ltd.,FEDERALBNK
Fertilisers and Chemicals Travancore Ltd.,FACT
Fine Organic Industries Ltd.,FINEORG
Finolex Cables Ltd.,FINCABLES
Finolex Industries Ltd.,FINPIPE
Firstsource Solutions Ltd.,FSL
Fortis Healthcare Ltd.,FORTIS
G R Infraprojects Ltd.,GRINFRA
GAIL (India) Ltd.,GAIL
GMM Pfaudler Ltd.,GMMPFAUDLR
GMR Infrastructure Ltd.,GMRINFRA
Galaxy Surfactants Ltd.,GALAXYSURF
Garware Technical Fibres Ltd.,GARFIBRES
General Insurance Corporation of India,GICRE
Gland Pharma Ltd.,GLAND
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO
Glenmark Life Sciences Ltd.,GLS
Glenmark Pharmaceuticals Ltd.,GLENMARK
Go Fashion (India) Ltd.,GOCOLORS
Godfrey Phillips India Ltd.,GODFRYPHLP
Godrej Agrovet Ltd.,GODREJAGRO
Godrej Consumer Products Ltd.,GODREJCP
Godrej Industries Ltd.,GODREJIND
Godrej Properties Ltd.,GODREJPROP
Granules India Ltd.,GRANULES
Graphite India Ltd.,GRAPHITE
Grasim Industries Ltd.,GRASIM
Great Eastern Shipping Co. Ltd.,GESHIP
Grindwell Norton Ltd.,GRINDWELL
Gujarat Alkalies & Chemicals Ltd.,GUJALKALI
Gujarat Ambuja Exports Ltd.,GAEL
Gujarat Fluorochemicals Ltd.,FLUOROCHEM
Gujarat Gas Ltd.,GUJGASLTD
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,GNFC
Gujarat Pipavav Port Ltd.,GPPL
Gujarat State Fertilizers & Chemicals Ltd.,GSFC
Gujarat State Petronet Ltd.,GSPL
H.E.G. Ltd.,HEG
HCL Technologies Ltd.,HCLTECH
HDFC Asset Management Company Ltd.,HDFCAMC
HDFC Bank Ltd.,HDFCBANK
HDFC Life Insurance Company Ltd.,HDFCLIFE
HFCL Ltd.,HFCL
HLE Glascoat Ltd.,HLEGLAS
Happiest Minds Technologies Ltd.,HAPPSTMNDS
Hathway Cable & Datacom Ltd.,HATHWAY
Hatsun Agro Product Ltd.,HATSUN
Havells India Ltd.,HAVELLS
Hemisphere Properties India Ltd.,HEMIPROP
Hero MotoCorp Ltd.,HEROMOTOCO
Hikal Ltd.,HIKAL
Hindalco Industries Ltd.,HINDALCO
Hinduja Global Solutions Ltd.,HGS
Hindustan Aeronautics Ltd.,HAL
Hindustan Copper Ltd.,HINDCOPPER
Hindustan Petroleum Corporation Ltd.,HINDPETRO
Hindustan Unilever Ltd.,HINDUNILVR
Hindustan Zinc Ltd.,HINDZINC
Hitachi Energy India Ltd.,POWERINDIA
Home First Finance Company India Ltd.,HOMEFIRST
Honeywell Automation India Ltd.,HONAUT
Housing & Urban Development Corporation Ltd.,HUDCO
Housing Development Finance Corporation Ltd.,HDFC
ICICI Bank Ltd.,ICICIBANK
ICICI Lombard General Insurance Company Ltd.,ICICIGI
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI
ICICI Securities Ltd.,ISEC
IDBI Bank Ltd.,IDBI
IDFC First Bank Ltd.,IDFCFIRSTB
IDFC Ltd.,IDFC
IFB Industries Ltd.,IFBIND
IIFL Finance Ltd.,IIFL
IIFL Wealth Management Ltd.,IIFLWAM
IRB Infrastructure Developers Ltd.,IRB
IRCON International Ltd.,IRCON
ITC Ltd.,ITC
ITI Ltd.,ITI
India Cements Ltd.,INDIACEM
Indiabulls Housing Finance Ltd.,IBULHSGFIN
Indiabulls Real Estate Ltd.,IBREALEST
Indiamart Intermesh Ltd.,INDIAMART
Indian Bank,INDIANB
Indian Energy Exchange Ltd.,IEX
Indian Hotels Co. Ltd.,INDHOTEL
Indian Oil Corporation Ltd.,IOC
Indian Overseas Bank,IOB
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC
Indian Railway Finance Corporation Ltd.,IRFC
Indigo Paints Ltd.,INDIGOPNTS
Indo Count Industries Ltd.,ICIL
Indoco Remedies Ltd.,INDOCO
Indraprastha Gas Ltd.,IGL
Indus Towers Ltd.,INDUSTOWER
IndusInd Bank Ltd.,INDUSINDBK
Infibeam Avenues Ltd.,INFIBEAM
Info Edge (India) Ltd.,NAUKRI
Infosys Ltd.,INFY
Inox Leisure Ltd.,INOXLEISUR
Intellect Design Arena Ltd.,INTELLECT
InterGlobe Aviation Ltd.,INDIGO
Ipca Laboratories Ltd.,IPCALAB
J.B. Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM
J.K. Cement Ltd.,JKCEMENT
JK Lakshmi Cement Ltd.,JKLAKSHMI
JK Paper Ltd.,JKPAPER
JM Financial Ltd.,JMFINANCIL
JSW Energy Ltd.,JSWENERGY
JSW Steel Ltd.,JSWSTEEL
Jamna Auto Industries Ltd.,JAMNAAUTO
Jindal Stainless Ltd.,JSL
Jindal Steel & Power Ltd.,JINDALSTEL
Jubilant Foodworks Ltd.,JUBLFOOD
Jubilant Ingrevia Ltd.,JUBLINGREA
Jubilant Pharmova Ltd.,JUBLPHARMA
Justdial Ltd.,JUSTDIAL
Jyothy Labs Ltd.,JYOTHYLAB
K.P.R. Mill Ltd.,KPRMILL
KEI Industries Ltd.,KEI
KNR Constructions Ltd.,KNRCON
KPIT Technologies Ltd.,KPITTECH
KRBL Ltd.,KRBL
Kajaria Ceramics Ltd.,KAJARIACER
Kalpataru Power Transmission Ltd.,KALPATPOWR
Kalyan Jewellers India Ltd.,KALYANKJIL
Kansai Nerolac Paints Ltd.,KANSAINER
Karur Vysya Bank Ltd.,KARURVYSYA
Kec International Ltd.,KEC
Kotak Mahindra Bank Ltd.,KOTAKBANK
Krishna Institute of Medical Sciences Ltd.,KIMS
L&T Finance Holdings Ltd.,L&TFH
L&T Technology Services Ltd.,LTTS
LIC Housing Finance Ltd.,LICHSGFIN
Lakshmi Machine Works Ltd.,LAXMIMACH
Larsen & Toubro Infotech Ltd.,LTI
Larsen & Toubro Ltd.,LT
Latent View Analytics Ltd.,LATENTVIEW
Laurus Labs Ltd.,LAURUSLABS
Laxmi Organic Industries Ltd.,LXCHEM
Linde India Ltd.,LINDEINDIA
Lupin Ltd.,LUPIN
Lux Industries Ltd.,LUXIND
MMTC Ltd.,MMTC
MOIL Ltd.,MOIL
MRF Ltd.,MRF
MTAR Technologies Ltd.,MTARTECH
Macrotech Developers Ltd.,LODHA
Mahanagar Gas Ltd.,MGL
Mahindra & Mahindra Financial Services Ltd.,M&MFIN
Mahindra & Mahindra Ltd.,M&M
Mahindra CIE Automotive Ltd.,MAHINDCIE
Mahindra Holidays & Resorts India Ltd.,MHRIL
Mahindra Logistics Ltd.,MAHLOG
Manappuram Finance Ltd.,MANAPPURAM
Mangalore Refinery & Petrochemicals Ltd.,MRPL
Marico Ltd.,MARICO
Maruti Suzuki India Ltd.,MARUTI
Mastek Ltd.,MASTEK
Max Financial Services Ltd.,MFSL
Max Healthcare Institute Ltd.,MAXHEALTH
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK
Medplus Health Services Ltd.,MEDPLUS
Metro Brands Ltd.,METROBRAND
Metropolis Healthcare Ltd.,METROPOLIS
MindTree Ltd.,MINDTREE
Minda Industries Ltd.,MINDAIND
Motilal Oswal Financial Services Ltd.,MOTILALOFS
MphasiS Ltd.,MPHASIS
Multi Commodity Exchange of India Ltd.,MCX
Muthoot Finance Ltd.,MUTHOOTFIN
NATCO Pharma Ltd.,NATCOPHARM
NBCC (India) Ltd.,NBCC
NCC Ltd.,NCC
NESCO Ltd.,NESCO
NHPC Ltd.,NHPC
NLC India Ltd.,NLCINDIA
NMDC Ltd.,NMDC
NOCIL Ltd.,NOCIL
NTPC Ltd.,NTPC
Narayana Hrudayalaya Ltd.,NH
National Aluminium Co. Ltd.,NATIONALUM
Navin Fluorine International Ltd.,NAVINFLUOR
Nazara Technologies Ltd.,NAZARA
Nestle India Ltd.,NESTLEIND
Network18 Media & Investments Ltd.,NETWORK18
Nippon Life India Asset Management Ltd.,NAM-INDIA
Nuvoco Vistas Corporation Ltd.,NUVOCO
Oberoi Realty Ltd.,OBEROIRLTY
Oil & Natural Gas Corporation Ltd.,ONGC
Oil India Ltd.,OIL
One 97 Communications Ltd.,PAYTM
Oracle Financial Services Software Ltd.,OFSS
Orient Electric Ltd.,ORIENTELEC
PB Fintech Ltd.,POLICYBZR
PCBL Ltd.,PCBL
PI Industries Ltd.,PIIND
PNB Housing Finance Ltd.,PNBHOUSING
PNC Infratech Ltd.,PNCINFRA
PVR Ltd.,PVR
Page Industries Ltd.,PAGEIND
Persistent Systems Ltd.,PERSISTENT
Petronet LNG Ltd.,PETRONET
Pfizer Ltd.,PFIZER
Phoenix Mills Ltd.,PHOENIXLTD
Pidilite Industries Ltd.,PIDILITIND
Piramal Enterprises Ltd.,PEL
Poly Medicure Ltd.,POLYMED
Polycab India Ltd.,POLYCAB
Polyplex Corporation Ltd.,POLYPLEX
Poonawalla Fincorp Ltd.,POONAWALLA
Power Finance Corporation Ltd.,PFC
Power Grid Corporation of India Ltd.,POWERGRID
Praj Industries Ltd.,PRAJIND
Prestige Estates Projects Ltd.,PRESTIGE
Prince Pipes and Fittings Ltd.,PRINCEPIPE
Prism Johnson Ltd.,PRSMJOHNSN
Privi Speciality Chemicals Ltd.,PRIVISCL
Procter & Gamble Health Ltd.,PGHL
Procter & Gamble Hygiene & Health Care Ltd.,PGHH
Punjab National Bank,PNB
Quess Corp Ltd.,QUESS
RBL Bank Ltd.,RBLBANK
REC Ltd.,RECLTD
RHI MAGNESITA INDIA LTD.,RHIM
RITES Ltd.,RITES
Radico Khaitan Ltd,RADICO
Rail Vikas Nigam Ltd.,RVNL
Railtel Corporation Of India Ltd.,RAILTEL
Rain Industries Ltd,RAIN
Rajesh Exports Ltd.,RAJESHEXPO
Rallis India Ltd.,RALLIS
Rashtriya Chemicals & Fertilizers Ltd.,RCF
Ratnamani Metals & Tubes Ltd.,RATNAMANI
RattanIndia Enterprises Ltd.,RTNINDIA
Redington (India) Ltd.,REDINGTON
Relaxo Footwears Ltd.,RELAXO
Reliance Industries Ltd.,RELIANCE
Restaurant Brands Asia Ltd.,RBA
Rossari Biotech Ltd.,ROSSARI
Route Mobile Ltd.,ROUTE
SBI Cards and Payment Services Ltd.,SBICARD
SBI Life Insurance Company Ltd.,SBILIFE
SIS Ltd.,SIS
SJVN Ltd.,SJVN
SKF India Ltd.,SKFINDIA
SRF Ltd.,SRF
Sanofi India Ltd.,SANOFI
Sapphire Foods India Ltd.,SAPPHIRE
Saregama India Ltd,SAREGAMA
Schaeffler India Ltd.,SCHAEFFLER
Sequent Scientific Ltd.,SEQUENT
Sheela Foam Ltd.,SFL
Shilpa Medicare Ltd.,SHILPAMED
Shipping Corporation of India Ltd.,SCI
Shree Cement Ltd.,SHREECEM
Shree Renuka Sugars Ltd.,RENUKA
Shriram City Union Finance Ltd.,SHRIRAMCIT
Shriram Transport Finance Co. Ltd.,SRTRANSFIN
Shyam Metalics and Energy Ltd.,SHYAMMETL
Siemens Ltd.,SIEMENS
Sobha Ltd.,SOBHA
Solar Industries India Ltd.,SOLARINDS
Solara Active Pharma Sciences Ltd.,SOLARA
Sona BLW Precision Forgings Ltd.,SONACOMS
Sonata Software Ltd.,SONATSOFTW
Spicejet Ltd.,SPICEJET
Star Health and Allied Insurance Company Ltd.,STARHEALTH
State Bank of India,SBIN
Steel Authority of India Ltd.,SAIL
Sterling and Wilson Renewable Energy Ltd.,SWSOLAR
Sterlite Technologies Ltd.,STLTECH
Strides Pharma Science Ltd.,STAR
Sudarshan Chemical Industries Ltd.,SUDARSCHEM
Sumitomo Chemical India Ltd.,SUMICHEM
Sun Pharma Advanced Research Company Ltd.,SPARC
Sun Pharmaceutical Industries Ltd.,SUNPHARMA
Sun TV Network Ltd.,SUNTV
Sundaram Finance Ltd.,SUNDARMFIN
Sundram Fasteners Ltd.,SUNDRMFAST
Sunteck Realty Ltd.,SUNTECK
Suprajit Engineering Ltd.,SUPRAJIT
Supreme Industries Ltd.,SUPREMEIND
Suven Pharmaceuticals Ltd.,SUVENPHAR
Suzlon Energy Ltd.,SUZLON
Symphony Ltd.,SYMPHONY
Syngene International Ltd.,SYNGENE
TCI Express Ltd.,TCIEXP
TCNS Clothing Co. Ltd.,TCNSBRANDS
TTK Prestige Ltd.,TTKPRESTIG
TV18 Broadcast Ltd.,TV18BRDCST
TVS Motor Company Ltd.,TVSMOTOR
Tanla Platforms Ltd.,TANLA
Tata Chemicals Ltd.,TATACHEM
Tata Coffee Ltd.,TATACOFFEE
Tata Communications Ltd.,TATACOMM
Tata Consultancy Services Ltd.,TCS
Tata Consumer Products Ltd.,TATACONSUM
Tata Elxsi Ltd.,TATAELXSI
Tata Investment Corporation Ltd.,TATAINVEST
Tata Motors Ltd DVR,TATAMTRDVR
Tata Motors Ltd.,TATAMOTORS
Tata Power Co. Ltd.,TATAPOWER
Tata Steel Long Products Ltd.,TATASTLLP
Tata Steel Ltd.,TATASTEEL
Tata Teleservices (Maharashtra) Ltd.,TTML
Teamlease Services Ltd.,TEAMLEASE
Tech Mahindra Ltd.,TECHM
The New India Assurance Company Ltd.,NIACL
The Ramco Cements Ltd.,RAMCOCEM
Thermax Ltd.,THERMAX
Thyrocare Technologies Ltd.,THYROCARE
Timken India Ltd.,TIMKEN
Titan Company Ltd.,TITAN
Torrent Pharmaceuticals Ltd.,TORNTPHARM
Torrent Power Ltd.,TORNTPOWER
Trent Ltd.,TRENT
Trident Ltd.,TRIDENT
Triveni Engineering & Industries Ltd.,TRIVENI
Triveni Turbine Ltd.,TRITURBINE
Tube Investments of India Ltd.,TIINDIA
UCO Bank,UCOBANK
UFLEX Ltd.,UFLEX
UPL Ltd.,UPL
UTI Asset Management Company Ltd.,UTIAMC
UltraTech Cement Ltd.,ULTRACEMCO
Union Bank of India,UNIONBANK
United Breweries Ltd.,UBL
United Spirits Ltd.,MCDOWELL-N
V-Guard Industries Ltd.,VGUARD
V-Mart Retail Ltd.,VMART
V.I.P. Industries Ltd.,VIPIND
Vaibhav Global Ltd.,VAIBHAVGBL
Vakrangee Ltd.,VAKRANGEE
Vardhman Textiles Ltd.,VTL
Varroc Engineering Ltd.,VARROC
Varun Beverages Ltd.,VBL
Vedanta Ltd.,VEDL
Venky's (India) Ltd.,VENKEYS
Vijaya Diagnostic Centre Ltd.,VIJAYA
Vinati Organics Ltd.,VINATIORGA
Vodafone Idea Ltd.,IDEA
Voltas Ltd.,VOLTAS
Welspun Corp Ltd.,WELCORP
Welspun India Ltd.,WELSPUNIND
Westlife Development Ltd.,WESTLIFE
Whirlpool of India Ltd.,WHIRLPOOL
Wipro Ltd.,WIPRO
Wockhardt Ltd.,WOCKPHARMA
Yes Bank Ltd.,YESBANK
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA
Zee Entertainment Enterprises Ltd.,ZEEL
Zensar Technolgies Ltd.,ZENSARTECH
Zomato Ltd.,ZOMATO
Zydus Lifesciences Ltd.,ZYDUSLIFE
Zydus Wellness Ltd.,ZYDUSWELL
eClerx Services Ltd.,ECLERX
